Batch_ID,Medicine_Name,Category,Manufacturer,Manufacturing_Date,Expiry_Date,Current_Stock,Reorder_Level,Maximum_Stock,Unit_Price,Warehouse,Critical_Medicine
BATCH-0033,Cetirizine 10mg,Antihistamine,NovaCure Industries,2024-06-29,2026-09-25,411,131,717,252.95,WH-North,Yes
BATCH-0039,Loratadine 10mg,Antihistamine,NovaCure Industries,2024-04-02,2026-09-16,137,78,240,199.53,WH-North,No
BATCH-0083,Warfarin 5mg,Cardiovascular,,2024-11-05,2027-06-10,159,86,460,234.61,WH-West,No
BATCH-0030,Paracetamol 500mg,Analgesic,Aurora Meds Co,2024-09-13,2026-10-04,150,122,323,269.05,WH-East,Yes
BATCH-0097,Hydrochlorothiazide 25mg,Cardiovascular,BlueCross Formulations,2027-02-03,2026-07-21,286,80,522,117.16,WH-North,No
BATCH-0115,Azithromycin 500mg,Antibiotic,MediCore Pharma,2025-03-19,2028-03-05,-32,88,570,58.78,WH-North,No
BATCH-0067,Ciprofloxacin 500mg,Antibiotic,BlueCross Formulations,2025-09-25,2027-12-30,751,81,615,285.14,WH-East,Yes
BATCH-0022,Amoxicillin 250mg,Antibiotic,Zenith Life Sciences,2024-11-24,2026-09-10,171,63,340,95.51,WH-South,No
BATCH-0112,Azithromycin 500mg,Antibiotic,Aurora Meds Co,2026-02-13,2027-10-02,-51,136,656,489.98,WH-East,Yes
BATCH-0009,Atorvastatin 10mg,Cardiovascular,Zenith Life Sciences,2024-08-06,2026-04-15,342,77,562,198.12,WH-South,No
BATCH-0186,Azithromycin 500mg,Antibiotic,NovaCure Industries,2024-11-27,2026-04-16,330,117,454,157.54,WH-South,Yes
BATCH-0195,Clopidogrel 75mg,Cardiovascular,NovaCure Industries,2026-04-18,2027-12-30,367,75,550,137.59,WH-Central,No
BATCH-0092,,Cardiovascular,Global Health Labs,2024-12-20,2026-01-03,177,120,478,112.74,WH-West,Yes
BATCH-0130,Hydrochlorothiazide 25mg,Cardiovascular,Global Health Labs,2025-10-19,2027-11-06,551,69,570,237.4,WH-North,Yes
BATCH-0091,Prednisolone 5mg,Other,Crestline Pharma,,2027-12-14,612,106,706,61.15,WH-South,Yes
BATCH-0126,Doxycycline 100mg,Antibiotic,Sunrise Biotech,2025-02-20,2028-02-19,136,106,293,161.39,WH-North,Yes
BATCH-0026,Atorvastatin 10mg,Cardiovascular,MediCore Pharma,2024-04-09,2026-09-20,185,144,571,374.11,WH-North,No
BATCH-0166,Clopidogrel 75mg,Cardiovascular,BlueCross Formulations,2026-04-13,2027-09-24,356,84,464,74.1,WH-North,No
BATCH-0086,Diclofenac Gel,Analgesic,Sunrise Biotech,2026-01-09,2028-05-04,352,116,,458.08,WH-Central,No
BATCH-0165,Oseltamivir 75mg,Antiviral,Global Health Labs,2025-10-24,2026-12-16,332,132,528,277.49,WH-Central,Yes
BATCH-0048,Vitamin D3 1000IU,Vitamin/Supplement,BlueCross Formulations,2024-10-20,2026-01-02,88,108,470,288.05,WH-West,No
BATCH-0118,Atorvastatin 10mg,Cardiovascular,PharmaGen Inc,2025-04-09,2027-07-08,461,80,667,50.13,WH-Central,No
BATCH-0137,Clotrimazole Cream,Antifungal,NovaCure Industries,2025-11-29,2027-12-19,287,103,485,79.13,WH-East,No
BATCH-0017,Salbutamol Inhaler,Respiratory,NovaCure Industries,2023-01-01,2025-06-13,509,146,669,100.97,WH-West,No
BATCH-0173,Paracetamol 500mg,Analgesic,Global Health Labs,2024-10-16,2026-10-12,303,80,522,94.06,WH-Central,No
BATCH-0036,Oseltamivir 75mg,Antiviral,Vertex Pharmaceuticals Ltd,2024-02-10,2026-09-16,146,96,706,449.51,WH-South,Yes
BATCH-0085,Losartan 50mg,Cardiovascular,MediCore Pharma,2026-06-11,2027-09-12,678,,721,293.77,WH-East,No
BATCH-0058,Vitamin C 1000mg,Vitamin/Supplement,PharmaGen Inc,2026-01-02,2027-02-22,61,83,427,106.22,WH-East,No
BATCH-0184,Metformin 500mg,Antidiabetic,Sunrise Biotech,2026-06-06,2027-10-30,537,127,624,219.37,WH-North,No
BATCH-0050,Amlodipine 5mg,Cardiovascular,Aurora Meds Co,2026-03-05,2028-06-14,34,67,627,333.96,WH-Central,No
BATCH-0010,Prednisolone 5mg,Other,BlueCross Formulations,2023-11-12,2026-04-16,374,145,594,448.96,WH-East,No
BATCH-0152,Ciprofloxacin 500mg,Antibiotic,MediCore Pharma,2024-10-16,2027-06-16,360,114,460,290.37,WH-West,No
BATCH-0071,Clotrimazole Cream,Antifungal,Zenith Life Sciences,2025-07-20,2027-09-28,650,145,576,176.23,WH-East,No
BATCH-0093,Acyclovir 400mg,,Zenith Life Sciences,2025-02-12,2026-12-07,264,115,626,208.04,WH-West,No
BATCH-0138,Ciprofloxacin 500mg,Antibiotic,NovaCure Industries,2026-05-15,2027-10-21,130,70,606,337.15,WH-West,No
BATCH-0072,Simvastatin 20mg,Cardiovascular,Sunrise Biotech,2026-03-06,2027-09-19,500,90,301,268.16,WH-South,No
BATCH-0073,Vitamin D3 1000IU,Vitamin/Supplement,Global Health Labs,2025-09-27,2028-05-22,633,147,565,141.86,WH-South,No
BATCH-0110,Oseltamivir 75mg,Antiviral,Sunrise Biotech,2026-04-06,2028-02-02,-34,91,623,88.23,WH-Central,No
BATCH-0096,Folic Acid 5mg,Vitamin/Supplement,Aurora Meds Co,2026-02-05,2026-13-45,304,118,515,166.55,WH-West,No
BATCH-0006,Doxycycline 100mg,Antibiotic,PharmaGen Inc,2023-01-19,2024-10-18,545,108,583,182.73,WH-East,No
BATCH-0150,Hydrochlorothiazide 25mg,Cardiovascular,NovaCure Industries,2026-02-03,2028-04-28,294,58,448,315.88,WH-Central,Yes
BATCH-0052,Enalapril 10mg,Cardiovascular,NovaCure Industries,2025-01-20,2027-05-31,104,130,402,220.22,WH-South,No
BATCH-0047,Cetirizine 10mg,Antihistamine,Sunrise Biotech,2026-04-03,2027-11-29,116,136,444,403.38,WH-North,Yes
BATCH-0094,Vitamin C 1000mg,Vitamin/Supplement,,2024-12-20,2026-05-17,262,99,346,254.37,WH-North,No
BATCH-0151,Loratadine 10mg,Antihistamine,PharmaGen Inc,2025-02-03,2026-04-19,330,89,475,19.28,WH-East,Yes
BATCH-0018,Montelukast 10mg,Respiratory,Aurora Meds Co,2025-01-15,2026-01-22,174,78,260,11.01,WH-South,No
BATCH-0056,Simvastatin 20mg,Cardiovascular,PharmaGen Inc,2025-02-23,2026-10-05,50,84,457,15.0,WH-West,Yes
BATCH-0014,Warfarin 5mg,Cardiovascular,Aurora Meds Co,2023-02-03,2024-12-30,180,75,303,381.37,WH-Central,Yes
BATCH-0002,Ibuprofen 400mg,Analgesic,Vertex Pharmaceuticals Ltd,2023-10-21,2026-01-22,397,79,487,13.75,WH-Central,No
BATCH-0142,Hydrochlorothiazide 25mg,Cardiovascular,BlueCross Formulations,2026-03-07,2027-03-14,563,113,645,88.26,WH-Central,No
BATCH-0109,Losartan 50mg,Cardiovascular,Zenith Life Sciences,2026-02-17,2028-11-21,-24,62,674,154.81,WH-North,No
BATCH-0061,Metronidazole 400mg,Antibiotic,Sunrise Biotech,2024-12-07,2026-07-18,810,109,617,383.57,WH-Central,No
BATCH-0193,Loratadine 10mg,Antihistamine,Sunrise Biotech,2026-02-26,2028-09-12,234,131,581,384.01,WH-West,No
BATCH-0131,Salbutamol Inhaler,Respiratory,Aurora Meds Co,2026-03-31,2028-04-15,106,66,500,293.44,WH-Central,No
BATCH-0168,Omeprazole 20mg,Gastrointestinal,PharmaGen Inc,2025-11-20,2026-12-18,201,90,716,419.67,WH-South,Yes
BATCH-0121,Atorvastatin 10mg,Cardiovascular,MediCore Pharma,2025-11-11,2027-10-13,360,149,374,450.32,WH-East,Yes
BATCH-0139,Folic Acid 5mg,Vitamin/Supplement,Global Health Labs,2024-10-24,2027-01-19,223,103,392,377.59,WH-East,No
BATCH-0111,Fluconazole 150mg,Antifungal,NovaCure Industries,2025-10-01,2027-03-18,-30,82,699,483.71,WH-East,Yes
BATCH-0007,Azithromycin 500mg,Antibiotic,Zenith Life Sciences,2021-12-15,2024-11-18,454,71,494,122.78,WH-West,No
BATCH-0046,Montelukast 10mg,Respiratory,Sunrise Biotech,2025-04-11,2028-03-02,40,77,488,396.97,WH-North,No
BATCH-0136,Loratadine 10mg,Antihistamine,Sunrise Biotech,2026-07-01,2028-01-02,414,68,507,200.69,WH-North,Yes
BATCH-0182,Hydrochlorothiazide 25mg,Cardiovascular,Zenith Life Sciences,2025-09-08,2027-07-18,484,107,565,213.34,WH-East,No
BATCH-0031,Azithromycin 500mg,Antibiotic,NovaCure Industries,2024-02-16,2026-09-05,208,86,316,416.96,WH-Central,No
BATCH-0059,Ondansetron 4mg,Gastrointestinal,PharmaGen Inc,2025-10-22,2027-01-13,64,110,269,26.52,WH-South,Yes
BATCH-0065,Doxycycline 100mg,Antibiotic,BlueCross Formulations,2025-04-20,2027-04-25,913,131,737,353.8,WH-South,No
BATCH-0051,Fluconazole 150mg,Antifungal,Zenith Life Sciences,2025-04-27,2027-11-09,87,107,716,371.96,WH-West,No
BATCH-0188,Clopidogrel 75mg,Cardiovascular,Zenith Life Sciences,2025-02-20,2026-09-12,93,65,284,226.3,WH-North,No
BATCH-0003,Enalapril 10mg,Cardiovascular,Vertex Pharmaceuticals Ltd,2024-05-09,2026-06-02,323,139,505,139.3,WH-East,Yes
BATCH-0176,Cetirizine 10mg,Antihistamine,Sunrise Biotech,2026-02-21,2027-04-07,278,95,524,406.85,WH-West,No
BATCH-0044,Ondansetron 4mg,Gastrointestinal,BlueCross Formulations,2025-08-07,2027-09-23,98,139,440,96.32,WH-South,No
BATCH-0163,Simvastatin 20mg,Cardiovascular,Vertex Pharmaceuticals Ltd,2025-01-07,2026-09-08,579,89,733,452.04,WH-East,No
BATCH-0127,Enalapril 10mg,Cardiovascular,Crestline Pharma,2024-10-06,2027-07-16,498,124,554,162.93,WH-Central,No
BATCH-0060,Diclofenac Gel,Analgesic,Vertex Pharmaceuticals Ltd,2026-06-06,2028-02-14,28,75,654,310.86,WH-South,No
BATCH-0066,Enalapril 10mg,Cardiovascular,Crestline Pharma,2024-10-15,2027-04-19,618,149,546,218.07,WH-East,No
BATCH-0133,Warfarin 5mg,Cardiovascular,Zenith Life Sciences,2025-07-12,2026-10-26,241,123,532,77.79,WH-South,Yes
BATCH-0152,Ciprofloxacin 500mg,Antibiotic,MediCore Pharma,2024-10-16,2027-06-16,360,114,460,290.37,WH-West,No
BATCH-0049,Acyclovir 400mg,Antiviral,Aurora Meds Co,2026-07-02,2027-10-19,109,149,516,88.36,WH-West,Yes
BATCH-0194,Amoxicillin 250mg,Antibiotic,Vertex Pharmaceuticals Ltd,2026-03-02,2028-08-13,163,69,374,81.4,WH-East,No
BATCH-0084,Fluconazole 150mg,Antifungal,BlueCross Formulations,2025-01-01,2027-05-21,,106,297,20.41,WH-East,No
BATCH-0179,Loratadine 10mg,Antihistamine,BlueCross Formulations,2026-05-20,2029-03-21,165,92,381,399.77,WH-West,No
BATCH-0175,Pantoprazole 40mg,Gastrointestinal,PharmaGen Inc,2025-06-20,2027-03-06,246,145,303,394.37,WH-South,Yes
BATCH-0108,Amoxicillin 250mg,Antibiotic,PharmaGen Inc,2024-10-25,2027-03-17,-40,86,633,303.73,WH-South,No
BATCH-0099,Cetirizine 10mg,Antihistamine,Sunrise Biotech,2026-10-24,2026-08-05,305,62,481,8.17,WH-West,Yes
BATCH-0174,Azithromycin 500mg,Antibiotic,BlueCross Formulations,2025-01-15,2027-07-26,643,114,666,277.3,WH-West,Yes
BATCH-0013,Cetirizine 10mg,Antihistamine,NovaCure Industries,2023-12-17,2025-04-03,231,105,335,2.12,WH-Central,Yes
BATCH-0025,Losartan 50mg,Cardiovascular,Aurora Meds Co,2024-11-06,2026-09-11,488,104,610,497.71,WH-West,Yes
BATCH-0157,Ciprofloxacin 500mg,Antibiotic,BlueCross Formulations,2024-11-18,2027-09-28,436,68,687,155.46,WH-South,No
BATCH-0064,Diclofenac Gel,Analgesic,PharmaGen Inc,2025-07-17,2028-01-13,727,104,592,34.94,WH-North,No
BATCH-0116,Metronidazole 400mg,Antibiotic,Aurora Meds Co,2026-03-30,2027-11-25,227,118,337,227.1,WH-West,No
BATCH-0069,Clotrimazole Cream,Antifungal,Vertex Pharmaceuticals Ltd,2025-12-24,2027-03-21,722,80,598,244.54,WH-West,No
BATCH-0032,Warfarin 5mg,Cardiovascular,Sunrise Biotech,2025-02-02,2026-09-24,120,83,292,371.34,WH-East,No
BATCH-0120,Ibuprofen 400mg,Analgesic,Aurora Meds Co,2026-05-17,2028-04-22,235,81,295,103.0,WH-South,No
BATCH-0062,Metronidazole 400mg,Antibiotic,Crestline Pharma,2026-01-21,2027-12-05,702,63,509,464.48,WH-West,No
BATCH-0154,Ciprofloxacin 500mg,Antibiotic,Zenith Life Sciences,2025-02-06,2027-11-29,145,72,242,353.96,WH-Central,No
BATCH-0028,Amlodipine 5mg,Cardiovascular,Crestline Pharma,2024-12-12,2026-09-15,106,55,522,209.9,WH-Central,No
BATCH-0144,Vitamin C 1000mg,Vitamin/Supplement,BlueCross Formulations,2026-04-19,2028-03-04,426,123,492,202.51,WH-East,Yes
BATCH-0132,Metronidazole 400mg,Antibiotic,MediCore Pharma,2025-05-13,2027-05-10,578,135,766,434.11,WH-East,No
BATCH-0095,Ondansetron 4mg,Gastrointestinal,NovaCure Industries,2025-07-24,2027-12-25,,84,654,141.78,WH-Central,No
BATCH-0034,Enalapril 10mg,Cardiovascular,NovaCure Industries,2024-06-25,2026-09-22,235,92,636,318.74,WH-South,No
BATCH-0103,Omeprazole 20mg,Gastrointestinal,Sunrise Biotech,2026-10-25,2026-07-27,301,81,502,283.18,WH-South,Yes
BATCH-0089,Ciprofloxacin 500mg,Antibiotic,MediCore Pharma,2025-08-19,2027-05-04,204,91,300,432.52,WH-Central,
BATCH-0082,Metronidazole 400mg,,Global Health Labs,2024-12-27,2026-08-14,210,132,358,413.4,WH-North,Yes
BATCH-0081,,Vitamin/Supplement,Crestline Pharma,2026-04-26,2029-03-29,359,79,702,394.02,WH-South,No
BATCH-0037,Ondansetron 4mg,Gastrointestinal,Sunrise Biotech,2024-09-30,2026-09-10,256,80,672,488.11,WH-West,Yes
BATCH-0156,Azithromycin 500mg,Antibiotic,Crestline Pharma,2025-08-04,2026-11-08,328,121,618,142.43,WH-South,No
BATCH-0088,Ondansetron 4mg,Gastrointestinal,Aurora Meds Co,2025-02-15,2026-12-07,554,134,767,406.88,,No
BATCH-0053,Hydrochlorothiazide 25mg,Cardiovascular,Sunrise Biotech,2024-12-31,2026-03-23,36,67,294,191.83,WH-South,Yes
BATCH-0119,Amoxicillin 250mg,Antibiotic,Zenith Life Sciences,2025-05-26,2027-03-04,209,74,719,474.53,WH-North,No
BATCH-0171,Metronidazole 400mg,Antibiotic,Crestline Pharma,2025-09-15,2027-05-16,110,88,300,119.6,WH-West,Yes
BATCH-0181,Salbutamol Inhaler,Respiratory,PharmaGen Inc,2026-04-18,2028-07-01,321,127,698,272.96,WH-North,Yes
BATCH-0113,Ranitidine 150mg,Gastrointestinal,NovaCure Industries,2026-06-23,2028-03-19,-53,118,331,184.61,WH-Central,No
BATCH-0041,Loratadine 10mg,Antihistamine,Crestline Pharma,2025-08-20,2027-11-09,120,127,538,192.91,WH-South,No
BATCH-0016,Azithromycin 500mg,Antibiotic,Sunrise Biotech,2021-07-13,2024-03-25,319,66,553,473.45,WH-East,No
BATCH-0019,Azithromycin 500mg,Antibiotic,Global Health Labs,2023-01-08,2025-11-23,100,58,671,429.89,WH-Central,No
BATCH-0117,Acyclovir 400mg,Antiviral,NovaCure Industries,2025-05-09,2028-03-09,573,62,638,308.02,WH-North,No
BATCH-0077,Warfarin 5mg,Cardiovascular,Crestline Pharma,2026-04-11,2027-12-21,643,65,500,208.38,WH-Central,No
BATCH-0104,Pantoprazole 40mg,Gastrointestinal,Zenith Life Sciences,2024-10-11,2026/33/01,388,80,484,71.99,WH-East,No
BATCH-0063,Insulin Glargine,Antidiabetic,NovaCure Industries,2026-04-21,2028-12-17,867,138,713,51.4,WH-Central,Yes
BATCH-0124,Azithromycin 500mg,Antibiotic,Zenith Life Sciences,2025-03-07,2027-06-09,421,149,484,297.04,WH-Central,No
BATCH-0078,Pantoprazole 40mg,Gastrointestinal,Crestline Pharma,2025-04-02,2027-06-29,877,88,678,153.04,WH-North,No
BATCH-0187,Ibuprofen 400mg,Analgesic,NovaCure Industries,2025-12-29,2028-05-23,413,116,464,59.32,WH-West,No
BATCH-0075,Oseltamivir 75mg,Antiviral,Zenith Life Sciences,2025-02-20,2026-06-05,517,51,494,234.96,WH-East,Yes
BATCH-0140,Metronidazole 400mg,Antibiotic,NovaCure Industries,2025-09-20,2028-08-14,395,136,589,263.7,WH-North,No
BATCH-0161,Clotrimazole Cream,Antifungal,Sunrise Biotech,2026-05-30,2029-04-06,237,93,691,298.82,WH-South,Yes
BATCH-0128,Vitamin C 1000mg,Vitamin/Supplement,Aurora Meds Co,2025-02-05,2027-10-17,294,105,305,57.65,WH-South,No
BATCH-0190,Simvastatin 20mg,Cardiovascular,PharmaGen Inc,2026-03-05,2027-09-26,279,67,338,247.26,WH-Central,No
BATCH-0164,Montelukast 10mg,Respiratory,Sunrise Biotech,2025-03-22,2027-01-04,416,149,494,263.97,WH-South,No
BATCH-0159,Salbutamol Inhaler,Respiratory,Vertex Pharmaceuticals Ltd,2025-02-02,2027-02-07,220,52,387,90.54,WH-East,No
BATCH-0107,Loratadine 10mg,Antihistamine,BlueCross Formulations,2024-11-26,2026-09-24,-37,139,440,488.98,WH-East,Yes
BATCH-0147,Cetirizine 10mg,Antihistamine,Vertex Pharmaceuticals Ltd,2026-01-16,2027-04-04,183,115,589,265.54,WH-East,No
BATCH-0054,Ondansetron 4mg,Gastrointestinal,BlueCross Formulations,2025-08-03,2028-02-09,60,109,471,103.81,WH-West,No
BATCH-0167,Montelukast 10mg,Respiratory,Vertex Pharmaceuticals Ltd,2025-07-15,2026-08-11,214,103,280,251.25,WH-West,Yes
BATCH-0068,Hydrochlorothiazide 25mg,Cardiovascular,Crestline Pharma,2026-01-02,2028-05-15,420,77,408,170.5,WH-East,No
BATCH-0148,Acyclovir 400mg,Antiviral,Sunrise Biotech,2025-11-08,2027-02-21,179,68,349,87.16,WH-North,Yes
BATCH-0165,Oseltamivir 75mg,Antiviral,Global Health Labs,2025-10-24,2026-12-16,332,132,528,277.49,WH-Central,Yes
BATCH-0012,Vitamin C 1000mg,Vitamin/Supplement,Global Health Labs,2021-09-22,2024-07-09,141,120,710,340.3,WH-Central,No
BATCH-0021,Ondansetron 4mg,Gastrointestinal,BlueCross Formulations,2025-05-28,2026-09-26,292,62,549,177.47,WH-West,Yes
BATCH-0008,Prednisolone 5mg,Other,MediCore Pharma,2024-09-28,2025-12-04,158,91,672,114.91,WH-East,No
BATCH-0011,Folic Acid 5mg,Vitamin/Supplement,BlueCross Formulations,2023-07-13,2025-08-06,234,64,292,80.41,WH-Central,Yes
BATCH-0145,Ranitidine 150mg,Gastrointestinal,PharmaGen Inc,2026-06-16,2028-05-13,552,71,631,416.1,WH-North,No
BATCH-0087,Folic Acid 5mg,Vitamin/Supplement,Global Health Labs,2026-04-05,2028-07-29,274,94,453,,WH-South,No
BATCH-0155,Metformin 500mg,Antidiabetic,Crestline Pharma,2025-06-30,2027-07-16,305,86,434,387.35,WH-North,No
BATCH-0185,Omeprazole 20mg,Gastrointestinal,PharmaGen Inc,2025-07-02,2027-07-29,171,122,288,339.69,WH-East,No
BATCH-0160,Insulin Glargine,Antidiabetic,Global Health Labs,2025-11-18,2027-04-07,154,69,258,422.29,WH-Central,No
BATCH-0169,Diclofenac Gel,Analgesic,Zenith Life Sciences,2025-09-17,2028-01-13,291,139,714,379.54,WH-West,No
BATCH-0044,Ondansetron 4mg,Gastrointestinal,BlueCross Formulations,2025-08-07,2027-09-23,98,139,440,96.32,WH-South,No
BATCH-0040,Ranitidine 150mg,Gastrointestinal,NovaCure Industries,2024-06-18,2026-09-24,129,53,262,89.69,WH-North,Yes
BATCH-0149,Folic Acid 5mg,Vitamin/Supplement,Crestline Pharma,2025-03-19,2027-10-17,386,147,593,340.73,WH-Central,No
